_varname,point_estimate,se_iqr
"mean_k1",-.1514666,.06880749
"mean_k2",-.05507249,.0960042
"mean_k3",.35486548,.0633537
"mean_k4",.20417839,.03235227
"mean_k5",1.4814558,.11866976
"mean_k6",.08567952,.05910142
"mean_k7",.9580415,.10220305
"mean_k8",-.18232347,.03649858
"mean_k9",.13251754,.10696259
"mean_k10",1.8720741,.2485112
"mean_k11",-.70532877,.13281071
"mean_k12",1.4430714,.08879447
"eta_c_p",.50375438,.2065413
"pi",.15752369,.00417308
"beta",0,0
"eta_h1_w1",.55187855,.1408512
"eta_h2_w2",.93943001,.28468307
"eta_c_w1",-.17711314,.07861904
"eta_h1_p",.13377845,.05859719
"eta_c_w2",-.06892054,.10695345
"eta_h2_p",.10826059,.16799808
"eta_h1_w2",.12370486,.07141392
"eta_h2_w1",.25726049,.14754677
"s_report",.71303474,.01225911
"s_u1_1",.04537862,.01375467
"s_u1_2",.0275767,.01346493
"s_u1_3",.03937829,.01600861
"s_u1_4",.00182552,.01324501
"s_u1_5",.04021273,.01552582
"s_v1_1",.02504371,.00811674
"s_v1_2",.02181579,.00754667
"s_v1_3",.01510199,.01201106
"s_v1_4",.05106188,.01370763
"s_v1_5",.03921122,.01137338
"s_u2_1",.02177494,.01199825
"s_u2_2",.00963915,.01118619
"s_u2_3",.01575848,.01195174
"s_u2_4",.0114233,.00814522
"s_u2_5",-.01714834,.01301324
"s_v2_1",.0467986,.00961935
"s_v2_2",.04157783,.00935566
"s_v2_3",.02418607,.00838075
"s_v2_4",.03119227,.00671012
"s_v2_5",.05115131,.01342035
"r_u1u2_1",.01362741,.00749736
"r_u1u2_2",.00491719,.00632602
"r_u1u2_3",.00096508,.00667041
"r_u1u2_4",.00246543,.00560985
"r_u1u2_5",.01044781,.00615171
"r_v1v2_1",-.00461671,.0060716
"r_v1v2_2",.0028385,.0051547
"r_v1v2_3",.00516677,.0035085
"r_v1v2_4",.00695336,.0038742
"r_v1v2_5",.00294098,.0051313
"r_u1",0,0
"r_u2",0,0
"r_v1",0,0
"r_v2",0,0
"s_omega",.03083771,.00176392
"observations",6433,
