_varname,point_estimate,se_iqr
"mean_k1",-.12780393,.06866669
"mean_k2",-.04603606,.09203079
"mean_k3",.29253817,.07172294
"mean_k4",.2104921,.04059865
"mean_k5",1.5516182,.12785673
"mean_k6",.12107379,.0630995
"mean_k7",.95874733,.10035863
"mean_k8",-.2403443,.04703791
"mean_k9",.18637586,.1111473
"mean_k10",1.9354674,.2378706
"mean_k11",-.73061381,.12013923
"mean_k12",1.3765408,.10084544
"eta_c_p",.41970355,.19775465
"pi",.15040835,.0038351
"beta",0,0
"eta_h1_w1",.65074653,.15689467
"eta_h2_w2",1.0211966,.28574901
"eta_c_w1",-.15342111,.08482463
"eta_h1_p",.11880472,.06356667
"eta_c_w2",-.05932059,.10238471
"eta_h2_p",.09366512,.16331308
"eta_h1_w2",.17247968,.07471152
"eta_h2_w1",.35169143,.15139659
"s_report",.66842222,.01388189
"s_u1_1",.04310637,.01126243
"s_u1_2",.01631862,.01158645
"s_u1_3",.03637423,.01568591
"s_u1_4",-.00244196,.01219554
"s_u1_5",.0408153,.01632543
"s_v1_1",.0272974,.00729256
"s_v1_2",.02640412,.00799901
"s_v1_3",.01460622,.01018232
"s_v1_4",.04998974,.01261248
"s_v1_5",.03774179,.01089274
"s_u2_1",.03297396,.01395493
"s_u2_2",.00970808,.01064706
"s_u2_3",.01583201,.01283847
"s_u2_4",.01104397,.01277542
"s_u2_5",-.01536555,.03202065
"s_v2_1",.04185573,.01106826
"s_v2_2",.04448545,.00886717
"s_v2_3",.02444444,.00862217
"s_v2_4",.03274299,.00698455
"s_v2_5",.05023008,.01396557
"r_u1u2_1",.01211999,.0072854
"r_u1u2_2",.00611172,.0058017
"r_u1u2_3",-.00121159,.00522537
"r_u1u2_4",.00133409,.00724958
"r_u1u2_5",.01018702,.0086133
"r_v1v2_1",-.00063809,.00704951
"r_v1v2_2",.00158429,.00485685
"r_v1v2_3",.00425739,.00348876
"r_v1v2_4",.0076599,.00373155
"r_v1v2_5",-.00030541,.00496907
"r_u1",.11576893,.14067473
"r_u2",.19248372,.11946737
"r_v1",-.04606114,.05422499
"r_v2",-.13964925,.1123773
"s_omega",.03323274,.00201465
"observations",7295,
