_varname,point_estimate,se_iqr
"k1_AT",-.1621284,.0876452
"k2_AT",-.0498219,.082611
"k3_AT",.3421968,.0773624
"k4_AT",.2015533,.0411362
"k5_AT",1.681229,.1646929
"k6_AT",.1594329,.0790904
"k7_AT",.9058253,.1087892
"k8_AT",-.2270581,.0403464
"k9_AT",.3250886,.1591094
"k10_AT",1.95781,.2590387
"k11_AT",-.7675972,.1252251
"k12_AT",1.413173,.1016747
