_varname,point_estimate,se_iqr
"mean_k1",-.15145395,.07226542
"mean_k2",-.05647506,.08490359
"mean_k3",.34350711,.06439955
"mean_k4",.19957749,.02836148
"mean_k5",1.5557684,.11482003
"mean_k6",.11027569,.05970484
"mean_k7",.95568182,.09049628
"mean_k8",-.19994995,.03419014
"mean_k9",.16892896,.10804719
"mean_k10",1.8967445,.21832873
"mean_k11",-.71453572,.11375872
"mean_k12",1.4400646,.08798944
"eta_c_p",.49333008,.17853832
"pi",.15040835,.0038351
"beta",0,0
"eta_h1_w1",.6535853,.14433801
"eta_h2_w2",.97566929,.26829143
"eta_c_w1",-.18199095,.08343511
"eta_h1_p",.14092835,.06016428
"eta_c_w2",-.07187447,.09267442
"eta_h2_p",.11348725,.14635347
"eta_h1_w2",.15960351,.07704238
"eta_h2_w1",.32543652,.15286002
"s_report",.7078251,.01218344
"s_u1_1",.02747897,.00573529
"s_u1_2",.02747897,.00573529
"s_u1_3",.02747897,.00573529
"s_u1_4",.02747897,.00573529
"s_u1_5",.02747897,.00573529
"s_v1_1",.030264,.00460073
"s_v1_2",.030264,.00460073
"s_v1_3",.030264,.00460073
"s_v1_4",.030264,.00460073
"s_v1_5",.030264,.00460073
"s_u2_1",.01247306,.0056739
"s_u2_2",.01247306,.0056739
"s_u2_3",.01247306,.0056739
"s_u2_4",.01247306,.0056739
"s_u2_5",.01247306,.0056739
"s_v2_1",.0382429,.00435085
"s_v2_2",.0382429,.00435085
"s_v2_3",.0382429,.00435085
"s_v2_4",.0382429,.00435085
"s_v2_5",.0382429,.00435085
"r_u1u2_1",.00578185,.00252637
"r_u1u2_2",.00578185,.00252637
"r_u1u2_3",.00578185,.00252637
"r_u1u2_4",.00578185,.00252637
"r_u1u2_5",.00578185,.00252637
"r_v1v2_1",.00268068,.00239367
"r_v1v2_2",.00268068,.00239367
"r_v1v2_3",.00268068,.00239367
"r_v1v2_4",.00268068,.00239367
"r_v1v2_5",.00268068,.00239367
"r_u1",0,0
"r_u2",0,0
"r_v1",0,0
"r_v2",0,0
"s_omega",.03323274,.00201465
"observations",7295,
