_varname,point_estimate,se_iqr
"mean_k1",-.11768241,.0617445
"mean_k2",-.03521252,.10372778
"mean_k3",.309196,.08385373
"mean_k4",.20024835,.04398974
"mean_k5",1.4931173,.1184486
"mean_k6",.13573015,.06710926
"mean_k7",.88947845,.12019211
"mean_k8",-.19706955,.0400452
"mean_k9",.20672037,.11919094
"mean_k10",1.9427771,.26870532
"mean_k11",-.80417293,.15420913
"mean_k12",1.3854862,.11324713
"eta_c_p",.40042729,.19061519
"pi",.10717128,.00264304
"beta",0,0
"eta_h1_w1",.5854654,.1428189
"eta_h2_w2",1.0324006,.32452217
"eta_c_w1",-.14013549,.07951146
"eta_h1_p",.10800411,.05965518
"eta_c_w2",-.04713337,.11542491
"eta_h2_p",.07383372,.18362378
"eta_h1_w2",.18475986,.0925951
"eta_h2_w1",.37552749,.18796295
"s_report",.70809171,.01291334
"s_u1_1",.0311049,.00704
"s_u1_2",.0311049,.00704
"s_u1_3",.0311049,.00704
"s_u1_4",.0311049,.00704
"s_v1_1",.02752589,.00540327
"s_v1_2",.02752589,.00540327
"s_v1_3",.02752589,.00540327
"s_v1_4",.02752589,.00540327
"s_u2_1",.01523641,.00692289
"s_u2_2",.01523641,.00692289
"s_u2_3",.01523641,.00692289
"s_u2_4",.01523641,.00692289
"s_u2_5",.01523641,.00692289
"s_v2_1",.03971264,.00565997
"s_v2_2",.03971264,.00565997
"s_v2_3",.03971264,.00565997
"s_v2_4",.03971264,.00565997
"s_v2_5",.03971264,.00565997
"r_u1u2_1",.00479394,.00360424
"r_u1u2_2",.00479394,.00360424
"r_u1u2_3",.00479394,.00360424
"r_u1u2_4",.00479394,.00360424
"r_v1v2_1",.00328622,.00340431
"r_v1v2_2",.00328622,.00340431
"r_v1v2_3",.00328622,.00340431
"r_v1v2_4",.00328622,.00340431
"r_u1",0,0
"r_u2",0,0
"r_v1",0,0
"r_v2",0,0
"s_omega",.03445192,.00238928
"observations",5441,
